"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"Something went wrong, check and test your Search Engine configurations, reindex catalog and clear cache. Thrown error: %1","Something went wrong, check and test your Search Engine configurations, reindex catalog and clear cache. Thrown error: %1"
"Bucket does not exist","Bucket does not exist"
"WeltPixel Layered Navigation Properties","WeltPixel Layered Navigation Properties"
"Filter Display Options","Filter Display Options"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can be used only with catalog input type Dropdown, Multiple Select and Price. %1","Can be used only with catalog input type Dropdown, Multiple Select and Price. %1"
Closed,Closed
"Fully Opened","Fully Opened"
Expandable,Expandable
"Initial Number of Visible Options","Initial Number of Visible Options"
"The number of attribute option(s) that will be initially visible. Can be used only with Filter Display Options - Expandable.","The number of attribute option(s) that will be initially visible. Can be used only with Filter Display Options - Expandable."
"The number of attribute option(s) that will be initially visible. Can be used only with Filter Display Options - Expandable. %1","The number of attribute option(s) that will be initially visible. Can be used only with Filter Display Options - Expandable. %1"
"Expandable items behaviour","Expandable items behaviour"
All,All
"Show 5 more","Show 5 more"
"Show 10 more","Show 10 more"
"Show 15 more","Show 15 more"
"Select the number of attribute option(s) to show/hide when using Expand feature. Can be used only with Filter Display Options - Expandable.","Select the number of attribute option(s) to show/hide when using Expand feature. Can be used only with Filter Display Options - Expandable."
"Select the number of attribute option(s) to show/hide when using Expand feature. Can be used only with Filter Display Options - Expandable. %1","Select the number of attribute option(s) to show/hide when using Expand feature. Can be used only with Filter Display Options - Expandable. %1"
"Enable Multiselect","Enable Multiselect"
No,No
Yes,Yes
"Allow to filter multiple options from the same attribute.","Allow to filter multiple options from the same attribute."
"Show Item Counter","Show Item Counter"
"Show item counter next to the current attribute options.","Show item counter next to the current attribute options."
"Show item counter next to the current attribute options. %1","Show item counter next to the current attribute options. %1"
"Sort By","Sort By"
Position,Position
Name,Name
"Select the sorting of the current attribute options.","Select the sorting of the current attribute options."
"Select the sorting of the current attribute options. %1","Select the sorting of the current attribute options. %1"
item,item
items,items
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Layered Navigation","Layered Navigation"
"General Settings","General Settings"
"Enable Layered Navigation","Enable Layered Navigation"
"Enable Ajax","Enable Ajax"
"Sidebar Settings","Sidebar Settings"
"Sidebar Style","Sidebar Style"
"Show Compare Products block","Show Compare Products block"
"Show/Hide Compare Products block from sidebar.","Show/Hide Compare Products block from sidebar."
"Show Wish List block","Show Wish List block"
"Show/Hide Wish List block from sidebar.","Show/Hide Wish List block from sidebar."
"Show Recently Ordered block","Show Recently Ordered block"
"Show/Hide Recently Ordered block from sidebar.","Show/Hide Recently Ordered block from sidebar."
"Show Category Filter","Show Category Filter"
"Show/Hide Category Filter section from Layered Navigation sidebar.<br/>
                        Applicable to Anchor categories. <br/>
                        Also, if exists, make sure to set Stores > Configuration > Catalog > Catalog > Layered Navigation > Display Category Filter to Yes.","Show/Hide Category Filter section from Layered Navigation sidebar.<br/>
                        Applicable to Anchor categories. <br/>
                        Also, if exists, make sure to set Stores > Configuration > Catalog > Catalog > Layered Navigation > Display Category Filter to Yes."
"Filter Button","Filter Button"
"Price Filter","Price Filter"
"Show Price Filter With Input","Show Price Filter With Input"
"Auto Close Sidebar","Auto Close Sidebar"
"Enable Rating Filter","Enable Rating Filter"
"Rating Filter Display Options","Rating Filter Display Options"
"Rating Filter Position","Rating Filter Position"
"Rating Filter Multiselect","Rating Filter Multiselect"
"Show Rating Filter Counter","Show Rating Filter Counter"
