Column,Column
Inline,Inline
Desktop,Desktop
Mobile,Mobile
Both,Both
Arrows,Arrows
Plus-Minus,Plus-Minus
"Default Input","Default Input"
"My Cart","My Cart"
"Incl. Tax","Incl. Tax"
"Total Incl. Tax","Total Incl. Tax"
"Excl. Tax","Excl. Tax"
Total,Total
Close,Close
"Recently added item(s)","Recently added item(s)"
"You have no items in your shopping cart.","You have no items in your shopping cart."
item,item
items,items
Discount,Discount
"View and edit cart","View and edit cart"
"Go to Checkout","Go to Checkout"
"Items in Cart","Items in Cart"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Cupon","Cancel Cupon"
"Cancel Coupon","Cancel Coupon"
Qty,Qty
Update,Update
Price,Price
"See price before order confirmation.","See price before order confirmation."
"Remove item","Remove item"
"Quick Cart","Quick Cart"
"Important / Recommended:","Important / Recommended:"
"General Settings for QuickCart","General Settings for QuickCart"
Enable,Enable
"Open minicart after item is added or removed","Open minicart after item is added or removed"
"Open minicart on Mobile/Desktop","Open minicart on Mobile/Desktop"
"Quick Cart Header","Quick Cart Header"
Height,Height
"Background Color","Background Color"
"Text Color","Text Color"
"Quick Cart Footer","Quick Cart Footer"
"Subtotal Background Color","Subtotal Background Color"
"Subtotal Text Color","Subtotal Text Color"
"Quick Cart Custom Message","Quick Cart Custom Message"
"Custom Message","Custom Message"
"{amount_needed} custom variable can be used if the Free Shipping Integration is used. It will return the needed amount for Free Shipping.","{amount_needed} custom variable can be used if the Free Shipping Integration is used. It will return the needed amount for Free Shipping."
"Free Shipping Integration","Free Shipping Integration"
"Message for Free Shipping","Message for Free Shipping"
"Insert a custom message which is displayed whe the free shipping can be applied, based on the Minimum Order Amount value set in the Free Shipping settings.","Insert a custom message which is displayed whe the free shipping can be applied, based on the Minimum Order Amount value set in the Free Shipping settings."
"Message Text Color","Message Text Color"
"Message Text Font Size","Message Text Font Size"
"Custom Css","Custom Css"
"Shopping Cart Custom Message","Shopping Cart Custom Message"
"Shopping Cart Content Design","Shopping Cart Content Design"
"Quantity Button Type","Quantity Button Type"
"Enable Custom CMS Block","Enable Custom CMS Block"
"Pick Custom CMS Block","Pick Custom CMS Block"
"Display Discounted Price","Display Discounted Price"
"Discounted Price Display Mode","Discounted Price Display Mode"
"Enable Coupon Codes","Enable Coupon Codes"
"Display Carousel","Display Carousel"
"Carousel Type","Carousel Type"
"Display Carousel For","Display Carousel For"
"Carousel Title","Carousel Title"
"Carousel Title Color","Carousel Title Color"
"Carousel Title Font Size","Carousel Title Font Size"
"Carousel Title Alignment","Carousel Title Alignment"
"Number of Items Displayed on Desktop","Number of Items Displayed on Desktop"
"Number of Items Displayed on Mobile","Number of Items Displayed on Mobile"
"Carousel Arrows Border Radius","Carousel Arrows Border Radius"
"Carousel Arrows Background Color","Carousel Arrows Background Color"
"Carousel Arrows Color","Carousel Arrows Color"
"Carousel Arrows Hover Background Color","Carousel Arrows Hover Background Color"
"Carousel Arrows Hover Color","Carousel Arrows Hover Color"
